eduid,id,official_name,official_short,official_address,official_region,official_years,our_name,our_short,our_years
100010329,000161136,Gymnázium Martina Kukučína,Gymnázium M.K.,"Vl. Clementisa 21, Revúca",Banskobystrický,"gym:8,gym:4",,,
100015903,000161144,Gymnázium Pavla Jozefa Šafárika - Pavol Jozef Šafárik Gimnázium,Gymnázium P. J.Šafárika,"Akademika Hronca 1, Rožňava",Košický,"gym:8,gym:5,gym:4",,,
100013251,000161152,Súkromné Gymnázium DSA,Súkromné Gymnázium DSA,"Komenského 40, Sabinov",Prešovský,"gym:8,gym:4",,,
100013374,000161179,Gymnázium,Gymnázium,"Študentská 4, Snina",Prešovský,"gym:8,gym:4",,,
100016014,000161187,Gymnázium,Gymnázium,"Kpt. Nálepku 6, Sobrance",Košický,"gym:8,gym:4",,,
100016264,000161195,Gymnázium,Gymnázium,"Školská 7, Spišská Nová Ves",Košický,"gym:8,gym:4",,,
100013509,000161217,Gymnázium Terézie Vansovej,Gymnázium T. Vansovej,"17. novembra 6, Stará Ľubovňa",Prešovský,"gym:8,gym:4",,,
100013644,000161225,Gymnázium,Gymnázium,"Konštantínova 64, Stropkov",Prešovský,"gym:8,gym:4",,,
100013776,000161233,Gymnázium duklianskych hrdinov,Gymnázium dukl. hrdinov,"Komenského 16, Svidník",Prešovský,"gym:8,gym:4",,,
100016548,000161241,Gymnázium,Gymnázium,"Komenského 32, Trebišov",Košický,"gym:8,gym:5,gym:4",,,
100015690,000161250,Gymnázium - Gimnázium,Gymnázium,"Zoltána Fábryho 1, Veľké Kapušany",Košický,"gym:8,gym:4",,,
100014041,000161268,Gymnázium Cyrila Daxnera,Gymnázium Cyrila Daxnera,"Dr. C. Daxnera 3, Vranov nad Topľou",Prešovský,"gym:8,gym:4",,,
100005393,000161357,Stredná priemyselná škola strojnícka a elektrotechnická - Gépipari és Elektrotechnikai Szakközépiskola,SPŠ strojnícka - Gép. Elektro. Szakközép.,"Petőfiho 2, Komárno",Nitriansky,ss:4,,,
100005737,000161373,Stredná priemyselná škola stavebná,SPŠ stavebná,"Cabajská 4, Nitra",Nitriansky,"ss:9,ss:4",,,
100003575,000161381,Stredná priemyselná škola,Stred.priemyselná škola,"SNP 8, Myjava",Trenčiansky,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100003685,000161403,Stredná priemyselná škola,Stredná priemyselná ško,"Bzinská 11, Nové Mesto nad Váhom",Trenčiansky,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
