eduid,id,name,short,address,years
100009281,710202067,Základná škola s materskou školou pri zdravotníckom zariadení,ZŠ s MŠ pri ZZ pri SŠ,"Vojtecha Spanyola 43, Žilina","zs:9,zs:10"
100008552,710202075,Základná škola s materskou školou pri zdravotníckom zariadení,ZŠ s MŠ pri ZZ pri SŠ,"Považská, Ružomberok","zs:9,zs:10"
100008459,710202083,Základná škola pri zdravotníckom zariadení,Základná škola pri ZZ pri SŠ,"Školská 9, Ľubochňa","zs:9,zs:10"
100007782,710202164,Základná škola s materskou školou pri zdravotníckom zariadení,ZŠ s MŠ pri ZZ pri SŠ,"Palúčanská, Liptovský Mikuláš","zs:9,zs:10"
100007129,710202229,Základná škola pri zdravotníckom zariadení,Základná škola pri ZZ pri SŠ,"Palárikova 2311, Čadca","zs:9,zs:10"
100000443,710202261,Základná škola pre žiakov s narušenou komunikačnou schopnosťou internátna,SŠ - ZŠ nar.kom.schop.i,"Hrdličkova 17, Bratislava-Nové Mesto","zs:9,zs:10"
100000308,710202334,Primary Years Program,SŠ-ZŠ(PYP),"Novohradská 3, Bratislava-Ružinov","zs:9,zs:10"
100000311,710202342,Middle Years Program,SŠ-Gym(MYP),"Novohradská 3, Bratislava-Ružinov","gym:5,gym:4,gym:8,zs:9"
100000371,710202350,Škola umeleckého priemyslu,SŠ-ŠUP,"Tokajícka 24, Bratislava-Ružinov","ss:4,ss:2"
100011494,710212585,Stredná odborná škola polytechnická,Spojená škola-SOŠpolyt.,"Slovenská 5, Bardejov","ss:4,zs:9,ss:3,ss:1,ss:2"
100000180,710212674,Súkromné gymnázium GALILEO SHOOL,Súkromné gymnázium,"Dudvážska 6, Bratislava-Podunajské Biskupice","gym:5,gym:4,gym:8"
100008792,710213018,Základná škola s materskou školou pri zdravotníckom zariadení,ZŠ s MŠ pri ZZ pri Sši,"Mieru 16, Trstená","zs:9,zs:10"
100004209,710213050,Základná škola,ZŠ PSŠ F.Hanáka,"A. Hlinku 44, Prievidza","zs:9,zs:10"
100000183,710213530,Súkromná obchodná akadémia Profi - Kamo,Súkr. obchodná akadémia,"Dudvážska 6, Bratislava-Podunajské Biskupice","ss:4,zs:9"
100000181,710213603,Súkromná základná škola GALILEO SCHOOL,Súkromná ZŠ GALILEO,"Dudvážska 6, Bratislava-Podunajské Biskupice","zs:9,zs:10"
100003497,710213638,Gymnázium sv. Jána Bosca,Gym Spoj.šk.sv. J.Bosca,"Trenčianska 28, Nová Dubnica","gym:4,gym:8"
100000209,710213662,Základná škola sv. Vincenta de Paul,SŠ-Základná škola,"Bachova 4, Bratislava-Ružinov","zs:9,zs:10"
100012826,710213727,Stredná odborná škola polytechnická pre žiakov so sluchovým postihnutím internátna,Spoj. škola -SOŠsl.p.i.,"Duklianska 2, Prešov","ss:4,ss:3,ss:1,ss:2,ss:5"
100012823,710213743,Špeciálna základná škola pre žiakov so sluchovým postihnutím internátna,Spoj. škola -ŠZŠsl.p.i.,"Duklianska 2, Prešov","zs:9,zs:10"
100009612,710213760,Cirkevná základná škola sv. Františka Assiského,Kat.spojená škola - CZŠ,"Gwerkovej-Göllnerovej 9, Banská Štiavnica","zs:9,zs:10"
100014083,710214634,Cirkevné gymnázium sv. Františka z Assisi,Gym. sv. Fr. z Assisi,"Školská 650, Vranov nad Topľou","gym:4,gym:8"
100013847,710215592,Stredná odborná škola,Spojená škola - SOŠ,Čaklov,"ss:4,zs:9,ss:3,ss:1,ss:2"
100011500,710215886,Stredná odborná škola remesiel,Spojená škola - SOŠ,"Štefánikova 64, Bardejov","ss:4,zs:9,ss:3,ss:1,ss:2"
100008742,710216467,Škola umeleckého priemyslu,ŠUP pri SŠ,"Hattalova, Nižná",ss:4
100001777,710216629,Odborné učilište internátne,OU int. ako o.z. Spoj.školy,"Gorkého ulica 4, Okoč","ss:3,ss"
100002420,710216637,Základná škola pri zdravotníckom zariadení,ZŠ pri ZZ ako o.z.Spoj.školy,"Hlboká 45, Piešťany","zs:9,zs:10"
100002908,710216645,Základná škola pri zdravotníckom zariadení,ZŠ pri ZZ ako o.z. Spoj.školy,"Andreja Žarnova 11, Trnava","zs:9,zs:10"
100005788,710217129,Špeciálna základná škola pre žiakov s telesným postihnutím,Špec. ZŠ - Spoj. šk.,"Mudroňova 1, Nitra","zs:9,zs:10"
100007947,710217315,Stredná odborná škola podnikania,SOŠ podnikania pri SŠ,"Československej armády, Martin","ss:3,ss:1,ss:4,ss:2"
100008273,710217323,Súkromná obchodná akadémia EDUCO,Súkromná OA pri Súkr.SŠ,"Slanická osada, Námestovo","ss:4,zs:9,ss:5"
100011787,710218290,Odborné učilište pre žiakov s telesným postihnutím internátne,Spoj.škola int.- OUtpi,"Třebíčska 16, Humenné",ss:3
100001323,710219024,Stredná odborná škola agrotechnická  J.A.Gagarina,SŠ-SOŠ agrotechnická J.A.Gagarina,"Svätoplukova 38, Bernolákovo","ss:4,zs:9,ss:3,ss:1,ss:2"
100013376,710219440,Gymnázium sv. Cyrila a Metoda,Cirk. spoj. škola - Gym,"Švermova 10, Snina","gym:4,gym:8"
100013954,710219725,Základná škola,Základná škola,Nová Kelča,"zs:9,zs:10"
100008563,710220065,Odborné učilište,Odborné učilište pri SŠ,"Scota Viatora, Ružomberok","ss:3,ss"
100012824,710220278,Špeciálna základná škola pre žiakov s naruš. komunikačnou schopn. inter.,Spojená škola - ŠZŠ nks,"Duklianska 2, Prešov","zs:9,zs:10"
100012477,710220316,Základná škola,Spojená škola - ZŠ,"Ulica mládeže 7, Poprad","zs:9,zs:10"
100003445,710220367,Základná škola,Základná škola,Dulov,"zs:9,zs:10"
100010698,710220871,Stredná odborná škola obchodu a služieb,Spojená škola - SOŠ,"Jarmočná 1, Modrý Kameň","ss:4,zs:9,ss:3,ss:1,ss:2"
100009836,710220898,Stredná odborná škola,Spojená škola - SOŠ,"Štúrova 848, Detva","ss:4,zs:9,ss:3,ss:1,ss:2"
100003699,710221800,Gymnázium,Gym Spoj.šk.sv. Jozefa,"Klčové 87, Nové Mesto nad Váhom","gym:4,gym:8"
100008684,710221940,Gymnázium M. Galandu,Gymnázium pri SŠ,"Horné Rakovce 29, Turčianske Teplice","gym:4,gym:8"
100012825,710223897,Odborné učilište pre žiakov so sluchovým postihnutím internátne,Spojená škola -OUIsl.p.,"Duklianska 2, Prešov","ss:3,ss"
100010851,710224133,Súkromná základná škola,Základná škola,"Zaježová 5, Pliešovce","zs:9,zs:10"
100000647,710224460,Súkromná základná škola,Súkromná ZŠ,"Bilíkova 34, Bratislava-Dúbravka","zs:9,zs:10"
100010705,710226241,Základná škola,Základná škola,Muľa,"zs:9,zs:10"
100012918,710227230,Evanjelická základná škola s materskou školou,Ev.spoj.škola-Ev. ZŠsMŠ,"Námestie legionárov 3, Prešov","zs:9,zs:10"
100000680,710227442,Súkromné gymnázium British International School Bratislava,SSŠ BIS - gymnázium,"Pekníkova 6, Bratislava-Dúbravka","gym:5,gym:4"
100005529,710227655,Základná škola s materskou školou sv. Vincenta de Paul,ZŠ s MŠ - KSŠ,"Saratovská 87, Levice","zs:9,zs:10"
100006718,710227698,Cirkevná základná škola F. Fegyvernekiho,Cirk. ZŠ  - KSŠ,"Slov.národ.povstania 4, Šahy","zs:9,zs:10"
100013521,710227795,Odborné učilište internátne,Spojená škola int.- OUI,"Levočská 24, Stará Ľubovňa",ss:3
100012300,710227809,Stredná odborná škola služieb,RC - Stred. odb. škola,"Námestie Štefana Kluberta 1, Levoča","ss:4,ss:3,ss:1,ss:2,ss:5"
100004211,710227825,Stredná odborná škola,SOŠ PSŠ F.Hanáka ,"A. Hlinku 44, Prievidza","ss:4,zs:9,ss:3,ss:1,ss:2"
100012230,710227957,Základná škola pre žiakov s telesným postihnutím Jána Vojtaššáka int.,Spoj. škola int.-ZŠtpi,"Kláštorská a, Levoča","zs:9,zs:10"
100012229,710227965,Základná škola pre žiakov s naruš. komunik. sch. Jána Vojtaššáka int.,Spoj. škola int.-ZŠnksi,"Kláštorská a, Levoča","zs:9,zs:10"
100012231,710227973,Základná škola pre žiakov s autizmom Jána Vojtaššáka int.,Spoj. škola int.-ZŠauti,"Kláštorská a, Levoča","zs:9,zs:10"
100008263,710227981,Odborné učilište,Odborné učilište pri Sši,"M. Urbana 45, Námestovo","ss:3,zs,ss"
100007420,710227990,Základná škola s materskou školou Andreja Radlinského,ZŠ s MŠ pri Cirk.SŠ,"Okružná 25, Dolný Kubín","zs:9,zs:10"
100000717,710228031,Gymnázium sv. Františka z Assisi,SŠ - GYM sv.Františka,"Karloveská 32, Bratislava-Karlova Ves","gym:4,gym:8"
100000855,710228295,Gymnázium Svätej Rodiny,SŠ-Gym. Svätej Rodiny,"Gercenova 10, Bratislava-Petržalka","gym:5,gym:4,gym:8"
100014740,710228341,Základná škola pre žiakov s autizmom,Spoj.škola - ZŠ autizm.,"Vojenská 13, Košice-Staré Mesto","zs:9,zs:10"
100003967,710228481,Základná škola pre žiakov s autizmom,ZŠ pre ž. s autizmom ako organizačná z. SŠ,"SNP 152, Považská Bystrica","zs:9,zs:10"
100004648,710228538,Súkromná základná škola FUTURUM,Súkromná ZŠ FUTURUM,"1.mája 9, Trenčín","zs:9,zs:10"
100000749,710229240,Stredná odborná škola pre žiakov s telesným postihnutím,SOŠ pre žiakov s TP,"Mokrohájska cesta 1, Bratislava-Karlova Ves","ss:4,zs:9,ss:3,ss:1,ss:2,ss:5"
100012262,710229313,Základná škola pre žiakov s naruš. komunikačnou schopnosťou internátna,Spoj. škola i.-ZŠnksi.,"Nám. Štefana Kluberta 2, Levoča","zs:9,zs:10"
100005949,710229607,Súkromná základná škola pre žiakov s autizmom,Súkr. ZŠ aut. - Spoj. šk.,"Pod kopcom 75, Nové Zámky","zs:9,zs:10"
100000103,710229631,Súkromné gymnázium nemecko-slovenské,S-Gymn. nem-slov,"Bárdošova 33, Bratislava-Nové Mesto","gym:4,gym:8"
100000102,710229640,Súkromná základná škola nemecko-slovenská,S-ZŠ nem.-slov.,"Bárdošova 33, Bratislava-Nové Mesto","zs:9,zs:10"
100016197,710229810,Odborné učilište,Spoj. škola - OU,"Hviezdoslavova 25, Spišská Nová Ves","ss:3,ss"
100009366,710230133,Stredná priemyselná škola stavebná,Spojená škola - SPŠ s.,"Kremnička 10, Banská Bystrica","ss:4,zs:9"
100012102,710230346,Gymnázium,Gymnázium,"Slov. nár. povstania 5, Spišská Stará Ves","gym:4,gym:8"
100015876,710230524,Stredná odborná škola,Spojená škola - SOŠ,"J. A .Komenského 5, Rožňava","ss:3,ss:1,zs:9,ss:2"
100012253,710230710,Stredná odborná škola  ekonomiky a služieb pre žiakov s telesným postihnutím internátna,Spoj. škola i.-SOŠ  ekonomiky a služieb pre tpi.,"Nám. Štefana Kluberta 1, Levoča","ss:4,ss:3,ss:1,ss:2,ss:5"
